Austria,4357575,AUT
Belgium,4966850,BEL
Czech Republic,5297875,CZE
Denmark,2905550,DNK
Finland,2679325,FIN
France,29429000,FRA
Germany,41961250,DEU
Greece,4810650,GRC
Hungary,4444200,HUN
Iceland,186750,ISL
Ireland,2156825,IRL
Italy,25514900,ITA
Luxembourg,260900,LUX
Netherlands,8895750,NLD
Norway,2721400,NOR
Poland,17428250,POL
Portugal,5225575,PRT
Slovak Republic,2721925,SVK
Spain,22954570,ESP
Sweden,5184475,SWE
Switzerland,4695625,CHE
Turkey,28773500,TUR
United Kingdom,32667400,GBR
Estonia,674400,EST
Slovenia,1014825,SVN
